estado	superficie_km2	poblacion_2015	densidad_2015
Chihuahua	247455	3556574	14.3726091613
Sonora	179355	2850330	15.8921134064
Coahuila	151562	2954915	19.4964107098
Durango	123317	1754754	14.2296195983
Oaxaca	93757	3967889	42.3209893661
Tamaulipas	80249	3441698	42.8877369188
Jalisco	78588	7844830	99.8222374917
Zacatecas	75284	1579209	20.9766882737
Baja California Sur	73909	712029	9.6338605583
Chiapas	73311	5217908	71.1749669217
Veracruz	71826	8112505	112.9466349233
Baja California	71450	3315766	46.4068019594
Nuevo León	64156	5119504	79.7977430014
Guerrero	63596	3533251	55.5577552047
San Luis Potosí	61137	2717820	44.4545856028
Michoacán	58599	4584471	78.2346285773
Sinaloa	58200	2966321	50.9677147766
Campeche	57507	899931	15.649068809
Quintana Roo	44705	1501562	33.5882339783
Yucatán	39524	2097175	53.0607985022
Puebla	34306	6168883	179.8193610447
Guanajuato	30608	5853677	191.2466348667
Nayarit	27857	1181050	42.3968840866
Tabasco	24731	2395272	96.8530184788
México	22351	16187608	724.2453581495
Hidalgo	20813	2858359	137.3352712247
Querétaro	11699	2038372	174.2347209163
Colima	5627	711235	126.3968366803
Aguascalientes	5616	1312544	233.7150997151
Morelos	4879	1903811	390.2051649928
Tlaxcala	4016	1272847	316.9439741036
Ciudad de México	1495	8918653	5965.654180602
