estado,fecha,casos_acumulados_um,casos_acumulados_res,muertes_acumuladas_um,muertes_acumuladas_res,casos_nuevos_um,casos_nuevos_res,muertes_nuevas_um,muertes_nuevas_res
Aguascalientes,2020-03-15,1,NA,0,NA,1,NA,0,NA
Aguascalientes,2020-03-16,1,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-17,1,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-18,1,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-19,4,NA,0,NA,3,NA,0,NA
Aguascalientes,2020-03-20,4,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-21,4,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-22,4,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-23,6,NA,0,NA,2,NA,0,NA
Aguascalientes,2020-03-24,6,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-25,12,NA,0,NA,6,NA,0,NA
Aguascalientes,2020-03-26,13,NA,0,NA,1,NA,0,NA
Aguascalientes,2020-03-27,19,NA,0,NA,6,NA,0,NA
Aguascalientes,2020-03-28,19,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-29,24,NA,0,NA,5,NA,0,NA
Aguascalientes,2020-03-30,24,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-03-31,36,NA,0,NA,12,NA,0,NA
Aguascalientes,2020-04-01,36,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-04-02,47,NA,0,NA,11,NA,0,NA
Aguascalientes,2020-04-03,48,NA,0,NA,1,NA,0,NA
Aguascalientes,2020-04-04,49,NA,0,NA,1,NA,0,NA
Aguascalientes,2020-04-05,49,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-04-06,49,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-04-07,53,NA,0,NA,4,NA,0,NA
Aguascalientes,2020-04-08,53,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-04-09,53,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-04-10,53,NA,0,NA,0,NA,0,NA
Aguascalientes,2020-04-11,55,NA,1,NA,2,NA,1,NA
Aguascalientes,2020-04-12,55,55,1,1,0,NA,0,NA
Aguascalientes,2020-04-13,55,55,1,1,0,0,0,0
Aguascalientes,2020-04-14,65,65,1,1,10,10,0,0
Aguascalientes,2020-04-15,65,65,1,1,0,0,0,0
Aguascalientes,2020-04-16,71,71,2,2,6,6,1,1
Aguascalientes,2020-04-17,77,77,2,2,6,6,0,0
