estado,casos_acumulados,fecha,casos_nuevos
Aguascalientes,1,2020-03-15,1
Aguascalientes,1,2020-03-16,0
Aguascalientes,1,2020-03-17,0
Aguascalientes,1,2020-03-18,0
Aguascalientes,4,2020-03-19,3
Aguascalientes,4,2020-03-20,0
Aguascalientes,4,2020-03-21,0
Aguascalientes,4,2020-03-22,0
Aguascalientes,6,2020-03-23,2
Aguascalientes,6,2020-03-24,0
Aguascalientes,12,2020-03-25,6
Aguascalientes,13,2020-03-26,1
Aguascalientes,19,2020-03-27,6
Aguascalientes,19,2020-03-28,0
Aguascalientes,24,2020-03-29,5
Aguascalientes,24,2020-03-30,0
Aguascalientes,36,2020-03-31,12
Aguascalientes,36,2020-04-01,0
Aguascalientes,47,2020-04-02,11
Aguascalientes,48,2020-04-03,1
Aguascalientes,49,2020-04-04,1
Aguascalientes,49,2020-04-05,0
Aguascalientes,49,2020-04-06,0
Aguascalientes,53,2020-04-07,4
Aguascalientes,53,2020-04-08,0
Aguascalientes,53,2020-04-09,0
Aguascalientes,53,2020-04-10,0
Baja California,2,2020-03-18,2
Baja California,2,2020-03-19,0
Baja California,4,2020-03-20,2
Baja California,8,2020-03-21,4
Baja California,11,2020-03-22,3
Baja California,13,2020-03-23,2
Baja California,13,2020-03-24,0
Baja California,14,2020-03-25,1
Baja California,19,2020-03-26,5
Baja California,20,2020-03-27,1
Baja California,20,2020-03-28,0
Baja California,23,2020-03-29,3
Baja California,27,2020-03-30,4
Baja California,35,2020-03-31,8
Baja California,37,2020-04-01,2
Baja California,40,2020-04-02,3
Baja California,52,2020-04-03,12
Baja California,54,2020-04-04,2
Baja California,69,2020-04-05,15
Baja California,111,2020-04-06,42
Baja California,136,2020-04-07,25
Baja California,225,2020-04-08,89
Baja California,239,2020-04-09,14
Baja California,258,2020-04-10,19
Baja California Sur,1,2020-03-21,1
Baja California Sur,1,2020-03-22,0
Baja California Sur,2,2020-03-23,1
Baja California Sur,2,2020-03-24,0
Baja California Sur,5,2020-03-25,3
Baja California Sur,7,2020-03-26,2
Baja California Sur,9,2020-03-27,2
Baja California Sur,9,2020-03-28,0
Baja California Sur,11,2020-03-29,2
Baja California Sur,13,2020-03-30,2
Baja California Sur,17,2020-03-31,4
