estado,muertes_acumuladas,fecha,muertes_nuevas
Aguascalientes,1,2020-04-11,1
Aguascalientes,1,2020-04-12,0
Aguascalientes,1,2020-04-13,0
Aguascalientes,1,2020-04-14,0
Aguascalientes,1,2020-04-15,0
Aguascalientes,2,2020-04-16,1
Baja California,3,2020-04-02,3
Baja California,5,2020-04-03,2
Baja California,5,2020-04-04,0
Baja California,6,2020-04-05,1
Baja California,7,2020-04-06,1
Baja California,7,2020-04-07,0
Baja California,15,2020-04-08,8
Baja California,16,2020-04-09,1
Baja California,17,2020-04-10,1
Baja California,20,2020-04-11,3
Baja California,22,2020-04-12,2
Baja California,25,2020-04-13,3
Baja California,28,2020-04-14,3
Baja California,28,2020-04-15,0
Baja California,31,2020-04-16,3
Baja California Sur,2,2020-04-01,2
Baja California Sur,2,2020-04-02,0
Baja California Sur,2,2020-04-03,0
Baja California Sur,2,2020-04-04,0
Baja California Sur,2,2020-04-05,0
Baja California Sur,2,2020-04-06,0
Baja California Sur,2,2020-04-07,0
Baja California Sur,2,2020-04-08,0
Baja California Sur,2,2020-04-09,0
Baja California Sur,2,2020-04-10,0
Baja California Sur,2,2020-04-11,0
Baja California Sur,2,2020-04-12,0
Baja California Sur,3,2020-04-13,1
Baja California Sur,5,2020-04-14,2
Baja California Sur,6,2020-04-15,1
Baja California Sur,6,2020-04-16,0
Campeche,1,2020-04-07,1
Campeche,1,2020-04-08,0
Campeche,1,2020-04-09,0
Campeche,1,2020-04-10,0
Campeche,1,2020-04-11,0
Campeche,1,2020-04-12,0
Campeche,2,2020-04-13,1
Campeche,2,2020-04-14,0
Campeche,2,2020-04-15,0
Campeche,3,2020-04-16,1
Ciudad de México,1,2020-03-19,1
Ciudad de México,1,2020-03-20,0
Ciudad de México,1,2020-03-21,0
Ciudad de México,1,2020-03-22,0
Ciudad de México,2,2020-03-23,1
Ciudad de México,3,2020-03-24,1
Ciudad de México,3,2020-03-25,0
Ciudad de México,3,2020-03-26,0
Ciudad de México,5,2020-03-27,2
Ciudad de México,7,2020-03-28,2
Ciudad de México,7,2020-03-29,0
Ciudad de México,8,2020-03-30,1
Ciudad de México,8,2020-03-31,0
Ciudad de México,8,2020-04-01,0
Ciudad de México,13,2020-04-02,5
Ciudad de México,15,2020-04-03,2
Ciudad de México,17,2020-04-04,2
Ciudad de México,19,2020-04-05,2
Ciudad de México,29,2020-04-06,10
Ciudad de México,32,2020-04-07,3
Ciudad de México,39,2020-04-08,7
Ciudad de México,43,2020-04-09,4
Ciudad de México,46,2020-04-10,3
Ciudad de México,49,2020-04-11,3
Ciudad de México,56,2020-04-12,7
Ciudad de México,64,2020-04-13,8
Ciudad de México,92,2020-04-14,28
Ciudad de México,99,2020-04-15,7
Ciudad de México,110,2020-04-16,11
Coahuila,1,2020-03-29,1
Coahuila,1,2020-03-30,0
Coahuila,1,2020-03-31,0
Coahuila,2,2020-04-01,1
Coahuila,2,2020-04-02,0
Coahuila,3,2020-04-03,1
Coahuila,4,2020-04-04,1
Coahuila,4,2020-04-05,0
Coahuila,5,2020-04-06,1
Coahuila,5,2020-04-07,0
